Date,Open,High,Low,Close,Volume,Adj Close
2006-03-30,97.66,98.14,96.79,97.30,310500,29.66
2006-03-29,95.56,96.90,95.40,96.90,327600,29.54
2006-03-28,95.90,96.48,95.10,95.45,877500,29.10
2006-03-27,94.48,95.33,93.95,95.01,552000,28.97
2006-03-24,93.95,95.22,93.95,94.79,229800,28.82
2006-03-23,93.30,94.09,93.07,93.70,147900,28.49
2006-03-22,92.03,93.59,92.00,92.50,154200,28.12
2006-03-21,91.54,93.31,91.52,91.81,322200,27.91
2006-03-20,93.93,94.50,92.38,92.55,180900,28.14
2006-03-17,94.90,95.15,94.18,94.18,330600,28.64
2006-03-16,94.22,95.37,93.62,95.15,328500,28.93
2006-03-15,93.45,94.10,93.00,94.10,263700,28.61
2006-03-14,91.60,93.60,91.47,93.22,194100,28.34
2006-03-13,90.00,91.86,90.00,91.54,332700,27.83
2006-03-10,88.50,90.56,88.50,90.10,428100,27.39
2006-03-09,90.73,91.03,89.42,89.59,216000,27.24
2006-03-08,88.92,90.70,88.50,89.95,611400,27.35
2006-03-07,91.35,91.35,89.80,90.42,502200,27.49
2006-03-06,94.42,94.42,91.74,91.81,268200,27.91
2006-03-03,94.46,95.40,94.41,94.67,152100,28.78
2006-03-02,93.80,94.74,93.34,94.59,262800,28.76
2006-03-01,92.59,93.32,92.19,93.07,1683900,28.30
2006-02-28,91.50,91.89,90.77,91.40,246300,27.79
2006-02-27,93.64,93.64,92.25,92.30,354000,28.06
2006-02-24,94.22,94.52,93.78,93.86,200400,28.54
2006-02-23,93.20,93.99,92.32,92.94,222300,28.26
2006-02-22,94.10,94.10,92.96,93.47,268800,28.42
2006-02-21,95.37,95.43,94.01,94.58,497100,28.76
2006-02-17,93.45,93.45,92.57,92.98,325500,28.27
2006-02-16,90.95,92.20,90.87,92.02,327300,27.98
2006-02-15,91.40,91.98,89.54,90.25,661500,27.44
2006-02-14,89.75,91.50,89.69,91.15,547500,27.71
2006-02-13,92.01,92.66,90.76,91.27,331500,27.75
2006-02-10,92.86,93.25,90.71,92.24,441600,28.05
2006-02-09,95.60,96.24,92.75,93.09,315600,28.30
2006-02-08,94.54,94.87,92.75,94.60,451500,28.76
2006-02-07,97.17,97.17,94.36,94.79,604200,28.82
2006-02-06,98.41,99.51,98.38,99.40,474300,30.22
2006-02-03,98.30,98.30,96.62,97.30,280500,29.58
2006-02-02,99.65,99.65,96.88,98.03,560700,29.81
2006-02-01,101.10,101.44,99.04,99.45,1766400,30.24
2006-01-31,100.95,101.40,100.16,100.86,292200,30.67
2006-01-30,100.00,101.38,100.00,100.83,257700,30.66
2006-01-27,98.75,99.38,98.10,98.86,205800,30.06
2006-01-26,96.75,97.41,95.34,97.32,211800,29.59
2006-01-25,99.10,99.11,95.91,96.87,329700,29.45
2006-01-24,98.45,99.13,98.25,98.33,298200,29.90
2006-01-23,97.30,99.08,96.92,98.88,298800,30.06
2006-01-20,98.80,99.16,96.97,97.55,337200,29.66
2006-01-19,95.20,97.37,95.07,97.08,277500,29.52
2006-01-18,95.85,96.00,93.91,94.95,282900,28.87
2006-01-17,96.07,96.60,95.82,96.49,299400,29.34
